1,32,2
3,5,2
3,7,2
3,9,2
3,10,2
3,11,2
3,14,2
3,19,3
3,20,3
3,21,2
3,22,3
5,6,2
5,7,3
5,9,2
5,10,3
5,11,3
5,14,3
5,16,2
5,22,2
6,7,2
6,10,2
6,11,2
6,16,2
7,9,2
7,10,3
7,11,3
7,14,2
7,16,2
7,22,2
8,11,3
8,12,2
8,13,3
8,22,2
9,10,2
9,11,2
9,14,2
9,22,2
9,28,2
10,11,4
10,14,2
10,16,2
10,22,2
10,27,2
11,12,2
11,13,3
11,14,3
11,16,2
11,20,3
11,22,6
11,29,2
11,31,2
11,35,2
11,36,2
11,37,10
11,38,3
12,13,2
12,22,2
13,22,2
14,22,2
14,37,2
16,22,2
18,25,2
18,34,2
19,20,3
19,21,2
19,22,2
20,21,3
20,22,5
20,36,2
20,38,2
21,22,4
22,29,2
22,31,2
22,35,3
22,36,2
22,38,3
24,38,2
25,34,3
26,27,3
26,28,2
26,36,2
26,37,3
27,28,2
27,36,2
27,37,3
28,36,2
28,37,2
29,30,2
29,31,3
29,33,2
29,38,4
30,33,2
31,35,2
31,38,2
35,38,2
36,37,2
36,38,2
