1,3,2
1,10,14
1,25,15
1,32,11
1,38,6
3,10,5
3,25,14
3,28,6
3,37,2
3,38,9
5,6,12
5,7,1
5,8,3
5,10,3
5,26,3
6,7,1
6,9,4
6,10,8
6,11,3
6,26,4
6,27,4
6,28,4
7,8,1
7,9,1
7,10,1
7,11,4
8,9,3
8,10,3
8,11,2
8,12,5
8,18,18
8,25,7
8,26,8
8,27,7
8,28,10
8,29,15
8,30,1
8,31,23
8,33,14
8,34,24
8,37,29
9,10,3
9,27,3
10,11,1
10,28,3
11,12,8
11,13,2
11,14,6
11,16,5
11,22,7
11,34,13
11,37,40
11,38,2
12,13,5
12,18,1
12,29,6
12,30,4
12,31,1
12,34,11
12,37,14
13,14,9
13,18,13
13,29,20
13,30,2
13,31,10
13,33,15
13,34,14
13,37,1
16,22,1
16,25,1
16,37,15
16,38,5
18,34,1
19,25,2
20,22,5
20,24,4
20,34,37
20,38,15
21,22,5
21,24,2
21,34,6
21,38,6
22,24,4
22,34,30
22,38,7
25,26,15
25,27,8
25,28,12
25,34,14
25,36,2
25,37,24
29,30,33
29,31,10
29,33,15
29,38,4
30,31,2
34,35,1
